testDate10Year,testY10Year,forecastY10Year
01-Jul-2004,0.114161645878252,0.136431475059039
01-Aug-2004,0.100461835416814,0.135093896365132
01-Sep-2004,0.0963470140469277,0.135309416209917
01-Oct-2004,0.0755538012765589,0.137610814570268
01-Nov-2004,0.11338222687875,0.141079674640784
01-Dec-2004,0.109722016582766,0.144717847451792
01-Jan-2005,0.0431692155546923,0.147104577724843
01-Feb-2005,0.0492145955779459,0.147524871154624
01-Mar-2005,0.0630972081353761,0.146161756838486
01-Apr-2005,0.0274140608456273,0.143735783365189
01-May-2005,0.0684633381091423,0.141360048703879
01-Jun-2005,0.0613457396094495,0.13990880539439
01-Jul-2005,0.105249355699236,0.139690120106686
01-Aug-2005,0.124276819659485,0.140386045177892
01-Sep-2005,0.0968630889537068,0.141325184411098
01-Oct-2005,0.0669077433964966,0.141732104734813
01-Nov-2005,0.0585402159221173,0.141193044017417
01-Dec-2005,0.0524178417458159,0.139785644667085
01-Jan-2006,0.0823761437604218,0.137937742117807
01-Feb-2006,0.0642031292982003,0.136328274163238
01-Mar-2006,0.0827182190978324,0.13544510408573
01-Apr-2006,0.118289635272193,0.135451580049271
01-May-2006,0.0948246596734223,0.136163209222899
01-Jun-2006,0.0423539197338325,0.137104296386051
01-Jul-2006,0.0310904568660819,0.137817254787504
01-Aug-2006,0.0513612193388714,0.138016374405052
01-Sep-2006,0.0748988514748107,0.137698923875919
01-Oct-2006,0.143813550790295,0.137126341112466
01-Nov-2006,0.122251226391459,0.136654552305568
01-Dec-2006,0.122299080082721,0.136571155512581
01-Jan-2007,0.113730029013162,0.136969605809533
01-Feb-2007,0.131711902244154,0.137720839252933
01-Mar-2007,0.0875059903844668,0.138548606487956
01-Apr-2007,0.124000706512975,0.139171881483563
01-May-2007,0.171417275835071,0.139417631723542
01-Jun-2007,0.20828778218438,0.139288798478967
01-Jul-2007,0.206682854059544,0.138945371213965
01-Aug-2007,0.130109155887037,0.138606351326367
01-Sep-2007,0.136127005327303,0.138456469600092
01-Oct-2007,0.129296307705849,0.138561848481269
01-Nov-2007,0.053829646272612,0.138854616295042
01-Dec-2007,0.0443371316417446,0.13918337994358
01-Jan-2008,-0.031878440624649,0.139384990608036
01-Feb-2008,-0.0622439091915837,0.139364034525059
01-Mar-2008,-0.0639752656455453,0.13912861440456
01-Apr-2008,-0.0636563635866744,0.138776112588015
01-May-2008,-0.0714162817475549,0.138443925188449
01-Jun-2008,-0.114212879493326,0.138244721161225
01-Jul-2008,-0.173195415299433,0.13822052792453
01-Aug-2008,-0.11903452448062,0.138333362113851
01-Sep-2008,-0.187139307470343,0.138491543257398
01-Oct-2008,-0.370770170037541,0.138596379974919
01-Nov-2008,-0.396579175749459,0.138588068862977
01-Dec-2008,-0.406741390732954,0.138467641909412
01-Jan-2009,-0.37220400939975,0.138289960639392
01-Feb-2009,-0.405677297452892,0.138134070208407
01-Mar-2009,-0.425083906632041,0.138064311412549
01-Apr-2009,-0.381124723634957,0.138103596547349
01-May-2009,-0.356900557289662,0.138227064181319
01-Jun-2009,-0.309509785647717,0.138377379582926
01-Jul-2009,-0.255708525208179,0.138493595220011
01-Aug-2009,-0.212053344986617,0.138537602380153
01-Sep-2009,-0.141665639508608,0.138508136216897
01-Oct-2009,0.102043765483072,0.138436937803303
01-Nov-2009,0.232186537416199,0.138370477602601
01-Dec-2009,0.265303796891381,0.138347467341585
