Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10,Dividend Yield
1966/08/01,80.65,2.87,5.49,32.7,5.22,616.18,21.93,41.97,19.91,3.56
1966/09/01,77.81,2.89,5.51,32.7,5.18,594.49,22.08,42.1,19.16,3.71
1966/10/01,77.13,2.88,5.52,32.9,5.01,585.71,21.9,41.94,18.83,3.74
1966/11/01,80.99,2.88,5.54,32.9,5.16,615.02,21.84,42.04,19.71,3.55
1966/12/01,81.33,2.87,5.55,32.9,4.84,617.6,21.79,42.15,19.74,3.53
1967/01/01,84.45,2.88,5.52,32.9,4.58,641.3,21.87,41.89,20.43,3.41
1967/02/01,87.36,2.89,5.48,32.9,4.63,663.39,21.95,41.64,21.07,3.31
1967/03/01,89.42,2.9,5.45,33,4.54,676.98,21.96,41.26,21.44,3.24
1967/04/01,90.96,2.9,5.41,33.1,4.59,686.56,21.89,40.83,21.69,3.19
1967/05/01,92.59,2.9,5.37,33.2,4.85,696.76,21.82,40.41,21.95,3.13
1967/06/01,91.43,2.9,5.33,33.3,5.02,685.96,21.76,39.99,21.55,3.17
1967/07/01,93.01,2.91,5.32,33.4,5.16,695.72,21.74,39.79,21.8,3.13
1967/08/01,94.49,2.91,5.31,33.5,5.28,704.69,21.73,39.6,22.03,3.08
1967/09/01,95.81,2.92,5.3,33.6,5.3,712.4,21.71,39.41,22.22,3.05
1967/10/01,95.66,2.92,5.31,33.7,5.48,709.18,21.65,39.37,22.07,3.05
1967/11/01,92.66,2.92,5.32,33.8,5.75,684.9,21.58,39.32,21.26,3.15
1967/12/01,95.3,2.92,5.33,33.9,5.7,702.34,21.52,39.28,21.75,3.06
1968/01/01,95.04,2.93,5.37,34.1,5.53,696.32,21.47,39.32,21.51,3.08
1968/02/01,90.75,2.94,5.4,34.2,5.56,662.94,21.48,39.47,20.42,3.24
1968/03/01,89.09,2.95,5.44,34.3,5.74,648.92,21.49,39.62,19.93,3.31
1968/04/01,95.67,2.96,5.48,34.4,5.64,694.82,21.52,39.82,21.28,3.1
1968/05/01,97.87,2.98,5.53,34.5,5.87,708.74,21.56,40.02,21.63,3.04
1968/06/01,100.5,2.99,5.57,34.7,5.72,723.59,21.53,40.1,22,2.98
1968/07/01,100.3,3,5.6,34.9,5.5,718.01,21.5,40.09,21.75,2.99
1968/08/01,98.11,3.02,5.63,35,5.42,700.32,21.53,40.19,21.14,3.07
1968/09/01,101.3,3.03,5.66,35.1,5.46,721.04,21.57,40.29,21.68,2.99
1968/10/01,103.8,3.04,5.69,35.3,5.58,734.64,21.54,40.29,22,2.93
1968/11/01,105.4,3.06,5.73,35.4,5.7,743.86,21.57,40.42,22.2,2.9
1968/12/01,106.5,3.07,5.76,35.5,6.03,749.51,21.61,40.54,22.28,2.88
1969/01/01,102,3.08,5.78,35.6,6.04,715.82,21.61,40.56,21.19,3.02
1969/02/01,101.5,3.09,5.8,35.8,6.19,708.33,21.56,40.48,20.9,3.04
1969/03/01,99.3,3.1,5.82,36.1,6.3,687.22,21.45,40.28,20.2,3.12
1969/04/01,101.3,3.11,5.83,36.3,6.17,697.2,21.4,40.1,20.43,3.07
1969/05/01,104.6,3.12,5.83,36.4,6.32,717.93,21.41,40.04,20.97,2.98
1969/06/01,99.14,3.13,5.84,36.6,6.57,676.74,21.37,39.86,19.71,3.16
1969/07/01,94.71,3.14,5.86,36.8,6.72,642.99,21.29,39.76,18.68,3.31
1969/08/01,94.18,3.14,5.87,37,6.69,635.93,21.22,39.66,18.43,3.34
1969/09/01,94.51,3.15,5.89,37.1,7.16,636.44,21.21,39.66,18.4,3.33
1969/10/01,95.52,3.15,5.85,37.3,7.1,639.79,21.12,39.21,18.45,3.3
1969/11/01,96.21,3.16,5.82,37.5,7.14,640.98,21.03,38.75,18.44,3.28
1969/12/01,91.11,3.16,5.78,37.7,7.65,603.78,20.94,38.3,17.33,3.47
1970/01/01,90.31,3.16,5.73,37.8,7.79,596.9,20.91,37.87,17.09,3.5
1970/02/01,87.16,3.17,5.68,38,7.24,573.04,20.82,37.34,16.37,3.63
1970/03/01,88.65,3.17,5.63,38.2,7.07,579.79,20.73,36.82,16.53,3.58
1970/04/01,85.95,3.17,5.59,38.5,7.39,557.75,20.59,36.3,15.87,3.69
1970/05/01,76.06,3.18,5.56,38.6,7.91,492.29,20.56,35.97,13.98,4.18
1970/06/01,75.59,3.18,5.52,38.8,7.84,486.73,20.48,35.54,13.8,4.21
1970/07/01,75.72,3.18,5.47,39,7.46,485.07,20.39,35.02,13.73,4.2
1970/08/01,77.92,3.19,5.41,39,7.53,499.16,20.41,34.68,14.1,4.09
1970/09/01,82.58,3.19,5.36,39.2,7.39,526.31,20.33,34.16,14.84,3.86
1970/10/01,84.37,3.17,5.28,39.4,7.33,534.99,20.12,33.5,15.06,3.76
1970/11/01,84.28,3.16,5.21,39.6,6.84,531.72,19.92,32.85,14.95,3.75
1970/12/01,90.05,3.14,5.13,39.8,6.39,565.27,19.71,32.2,15.87,3.49
1971/01/01,93.49,3.13,5.16,39.8,6.24,586.86,19.65,32.39,16.46,3.35
1971/02/01,97.11,3.12,5.19,39.9,6.11,608.06,19.54,32.5,17.03,3.21
1971/03/01,99.6,3.11,5.22,40,5.7,622.09,19.42,32.6,17.4,3.12
1971/04/01,103,3.11,5.25,40.1,5.83,641.72,19.36,32.73,17.92,3.02
1971/05/01,101.6,3.1,5.29,40.3,6.39,629.86,19.24,32.77,17.56,3.05
1971/06/01,99.72,3.1,5.32,40.6,6.52,613.64,19.08,32.74,17.08,3.11
1971/07/01,99,3.1,5.36,40.7,6.73,607.71,19.01,32.88,16.89,3.13
1971/08/01,97.24,3.09,5.39,40.8,6.58,595.44,18.94,33.03,16.52,3.18
1971/09/01,99.4,3.09,5.43,40.8,6.14,608.67,18.92,33.25,16.86,3.11
1971/10/01,97.29,3.08,5.52,40.9,5.93,594.29,18.83,33.72,16.43,3.17
1971/11/01,92.78,3.08,5.61,40.9,5.81,566.74,18.79,34.27,15.64,3.32
1971/12/01,99.17,3.07,5.7,41.1,5.93,602.83,18.66,34.65,16.6,3.1
1972/01/01,103.3,3.07,5.74,41.1,5.95,627.93,18.66,34.87,17.26,2.97
1972/02/01,105.2,3.07,5.77,41.3,6.08,636.38,18.57,34.92,17.46,2.92
1972/03/01,107.7,3.07,5.81,41.4,6.07,649.93,18.53,35.06,17.81,2.85
1972/04/01,108.8,3.07,5.86,41.5,6.19,654.99,18.48,35.3,17.92,2.82
1972/05/01,107.7,3.07,5.92,41.6,6.13,646.81,18.44,35.53,17.66,2.85
1972/06/01,108,3.07,5.97,41.7,6.11,647.06,18.39,35.77,17.64,2.84
1972/07/01,107.2,3.07,6.03,41.9,6.11,639.2,18.33,35.93,17.4,2.87
1972/08/01,111,3.08,6.08,42,6.21,660.28,18.3,36.19,17.94,2.77
1972/09/01,109.4,3.08,6.14,42.1,6.55,649.22,18.28,36.44,17.61,2.82
1972/10/01,109.6,3.1,6.23,42.3,6.48,647.33,18.33,36.82,17.53,2.83
1972/11/01,115.1,3.13,6.33,42.4,6.28,678.21,18.42,37.28,18.34,2.72
1972/12/01,117.5,3.15,6.42,42.5,6.36,690.72,18.52,37.74,18.65,2.68
1973/01/01,118.4,3.16,6.55,42.6,6.46,694.38,18.51,38.39,18.71,2.67
1973/02/01,114.2,3.16,6.67,42.9,6.64,665.06,18.42,38.86,17.89,2.77
1973/03/01,112.4,3.17,6.8,43.3,6.71,648.53,18.29,39.24,17.41,2.82
1973/04/01,110.3,3.19,6.94,43.6,6.67,632.04,18.26,39.79,16.94,2.89
1973/05/01,107.2,3.2,7.09,43.9,6.85,610.08,18.23,40.33,16.31,2.99
1973/06/01,104.8,3.22,7.23,44.2,6.9,592.37,18.2,40.87,15.81,3.07
1973/07/01,105.8,3.24,7.38,44.3,7.13,596.67,18.25,41.64,15.89,3.06
1973/08/01,103.8,3.25,7.54,45.1,7.4,575.01,18.02,41.75,15.28,3.13
1973/09/01,105.6,3.27,7.69,45.2,7.09,583.69,18.07,42.51,15.48,3.1
1973/10/01,109.8,3.31,7.85,45.6,6.79,601.58,18.12,42.99,15.91,3.01
1973/11/01,102,3.34,8,45.9,6.73,555.19,18.2,43.56,14.65,3.28
1973/12/01,94.78,3.38,8.16,46.2,6.74,512.54,18.28,44.13,13.49,3.57
1974/01/01,96.11,3.4,8.23,46.6,6.99,515.27,18.23,44.11,13.53,3.54
1974/02/01,93.45,3.42,8.29,47.2,6.96,494.64,18.1,43.9,12.96,3.66
1974/03/01,97.44,3.44,8.36,47.8,7.21,509.29,17.98,43.7,13.31,3.53
1974/04/01,92.46,3.46,8.49,48,7.51,481.25,18.01,44.17,12.55,3.74
1974/05/01,89.67,3.48,8.61,48.6,7.58,460.96,17.89,44.28,12,3.88
1974/06/01,89.79,3.5,8.74,49,7.54,457.81,17.85,44.56,11.89,3.9
1974/07/01,79.31,3.53,8.86,49.4,7.81,401.1,17.85,44.83,10.39,4.45
1974/08/01,76.03,3.56,8.99,50,8.04,379.9,17.79,44.9,9.82,4.68
