id,yr,cm,dcm,annualprec,summerpdsi,wintertemp,growthGroup,pdsiGroup
700.0,1998.0,23.6,0.10000000000000052,1.7853,-0.925,5.516666666666667,3,1
700.0,2002.0,23.9,0.09999999999999963,1.8294,-0.925,5.25,3,1
700.0,2004.0,24.25,0.25,1.65325,-1.41875,5.383333333333335,3,2
700.0,2006.0,24.6,0.09999999999999963,1.4076000000000002,-2.4491666666666667,5.455555555555557,3,3
700.0,2008.0,24.9,0.20000000000000107,1.5153,-2.01875,3.43333333333333,3,3
700.0,2010.0,25.35,0.5,1.7804,-0.9775,3.5833333333333304,3,1
518.0,1998.0,14.45,0.07499999999999972,1.7853,-0.925,5.516666666666667,3,1
518.0,2002.0,14.65,0.049999999999999815,1.8294,-0.925,5.25,3,1
518.0,2004.0,15.0,0.3000000000000007,1.65325,-1.41875,5.383333333333335,3,2
518.0,2006.0,15.45,0.14999999999999947,1.4076000000000002,-2.4491666666666667,5.455555555555557,3,3
518.0,2008.0,15.65,0.049999999999999815,1.5153,-2.01875,3.43333333333333,3,3
518.0,2010.0,15.85,0.3000000000000007,1.7804,-0.9775,3.5833333333333304,3,1
914.0,1998.0,19.4,0.14999999999999947,1.7853,-0.925,5.516666666666667,3,1
914.0,2002.0,20.5,0.8000000000000007,1.8294,-0.925,5.25,3,1
914.0,2004.0,21.4,0.09999999999999963,1.65325,-1.41875,5.383333333333335,3,2
914.0,2006.0,21.9,0.4000000000000004,1.4076000000000002,-2.4491666666666667,5.455555555555557,3,3
914.0,2008.0,22.9,0.5999999999999996,1.5153,-2.01875,3.43333333333333,3,3
914.0,2010.0,23.7,0.3999999999999986,1.7804,-0.9775,3.5833333333333304,3,1
910.0,1998.0,6.75,0.024999999999999908,1.7853,-0.925,5.516666666666667,3,1
910.0,2002.0,6.949999999999998,0.1499999999999999,1.8294,-0.925,5.25,3,1
910.0,2004.0,7.1,0.0,1.65325,-1.41875,5.383333333333335,3,2
910.0,2006.0,7.25,0.15000000000000036,1.4076000000000002,-2.4491666666666667,5.455555555555557,3,3
910.0,2008.0,7.45,0.049999999999999815,1.5153,-2.01875,3.43333333333333,3,3
910.0,2010.0,7.5,0.0,1.7804,-0.9775,3.5833333333333304,3,1
900.0,1998.0,8.35,0.07500000000000018,1.7853,-0.925,5.516666666666667,3,1
900.0,2002.0,8.5,0.0,1.8294,-0.925,5.25,3,1
900.0,2004.0,8.5,0.0,1.65325,-1.41875,5.383333333333335,3,2
900.0,2006.0,8.6,0.09999999999999963,1.4076000000000002,-2.4491666666666667,5.455555555555557,3,3
900.0,2008.0,9.0,0.3000000000000007,1.5153,-2.01875,3.43333333333333,3,3
900.0,2010.0,9.3,0.0,1.7804,-0.9775,3.5833333333333304,3,1
